N,auto,dynamic,guided,static
2,42.0,43.72727272727273,49.18181818181818,58.45454545454545
3,69.0,64.36363636363636,37.18181818181818,55.45454545454545
4,68.63636363636364,32.54545454545455,23.727272727272727,23.272727272727273
5,20.181818181818183,32.63636363636363,8.818181818181818,35.36363636363637
6,30.272727272727273,14.727272727272727,6.818181818181818,21.181818181818183
7,32.36363636363637,14.272727272727273,8.909090909090908,16.09090909090909
8,11.090909090909092,7.909090909090909,12.090909090909092,6.909090909090909
9,18.0,14.090909090909092,14.545454545454545,5.545454545454546
10,16.181818181818183,5.909090909090909,7.636363636363637,4.181818181818182
11,14.181818181818182,4.454545454545454,13.818181818181818,2.727272727272727
12,8.545454545454545,5.2727272727272725,8.636363636363637,6.545454545454546
13,6.363636363636363,8.545454545454545,15.363636363636363,6.636363636363637
14,10.363636363636363,9.090909090909092,15.818181818181818,10.727272727272727
15,14.090909090909092,16.272727272727273,7.0,7.0
16,41.0,10.909090909090908,10.454545454545455,9.0
17,40.81818181818182,10.272727272727273,7.454545454545454,5.181818181818182
18,17.90909090909091,11.636363636363637,7.909090909090909,5.363636363636363
19,22.818181818181817,16.90909090909091,5.454545454545454,4.454545454545454
20,54.54545454545455,9.545454545454545,5.636363636363637,6.454545454545454
21,41.72727272727273,8.727272727272727,10.363636363636363,7.0
22,35.18181818181818,8.909090909090908,11.818181818181818,12.545454545454545
23,37.45454545454545,11.0,39.36363636363637,15.181818181818182
24,30.181818181818183,13.636363636363637,44.81818181818182,4.636363636363637
25,71.18181818181819,25.181818181818183,25.90909090909091,5.0
26,44.81818181818182,21.454545454545453,31.545454545454547,6.181818181818182
27,81.0909090909091,42.63636363636363,10.0,23.09090909090909
28,103.9090909090909,38.09090909090909,12.363636363636363,6.090909090909091
29,57.0,41.45454545454545,9.181818181818182,6.090909090909091
30,79.63636363636364,45.18181818181818,12.090909090909092,9.090909090909092
31,23.0,18.181818181818183,15.454545454545455,10.818181818181818
32,25.09090909090909,16.454545454545453,13.0,62.0
33,24.454545454545453,25.181818181818183,24.09090909090909,22.272727272727273
34,28.545454545454547,34.36363636363637,16.90909090909091,38.36363636363637
35,41.90909090909091,25.818181818181817,32.0,23.363636363636363
36,19.818181818181817,21.09090909090909,48.54545454545455,28.09090909090909
37,15.363636363636363,38.81818181818182,18.545454545454547,22.272727272727273
38,17.09090909090909,73.0909090909091,43.0,21.363636363636363
39,47.90909090909091,96.9090909090909,35.36363636363637,14.181818181818182
40,26.272727272727273,66.36363636363636,45.36363636363637,11.181818181818182
41,31.545454545454547,51.90909090909091,30.09090909090909,12.545454545454545
42,38.18181818181818,52.81818181818182,89.27272727272727,15.727272727272727
43,64.18181818181819,31.727272727272727,32.45454545454545,20.90909090909091
44,45.63636363636363,36.81818181818182,52.18181818181818,26.90909090909091
45,21.363636363636363,45.09090909090909,28.272727272727273,63.18181818181818
46,22.0,101.72727272727273,28.363636363636363,90.36363636363636
47,23.09090909090909,83.54545454545455,40.45454545454545,45.27272727272727
48,32.72727272727273,56.63636363636363,56.36363636363637,86.81818181818181
49,48.36363636363637,54.72727272727273,56.18181818181818,30.0
50,57.0,51.27272727272727,58.54545454545455,21.90909090909091
51,58.63636363636363,53.63636363636363,59.90909090909091,21.90909090909091
52,100.54545454545455,90.9090909090909,45.72727272727273,27.272727272727273
53,47.45454545454545,126.54545454545455,47.18181818181818,40.0
54,32.36363636363637,71.63636363636364,57.54545454545455,63.54545454545455
55,31.09090909090909,82.81818181818181,39.0,68.36363636363636
56,41.45454545454545,58.63636363636363,38.90909090909091,60.90909090909091
57,73.0909090909091,141.0909090909091,58.90909090909091,82.72727272727273
58,65.72727272727273,111.0,101.63636363636364,33.90909090909091
59,99.72727272727273,87.18181818181819,67.45454545454545,30.818181818181817
60,78.72727272727273,76.54545454545455,56.45454545454545,61.54545454545455
61,41.54545454545455,114.9090909090909,59.72727272727273,49.18181818181818
62,66.36363636363636,141.1818181818182,70.81818181818181,60.72727272727273
63,61.0,95.27272727272727,73.0,88.63636363636364
64,76.45454545454545,93.36363636363636,76.54545454545455,94.63636363636364
65,113.45454545454545,172.1818181818182,92.36363636363636,54.63636363636363
66,82.45454545454545,134.0909090909091,78.81818181818181,50.27272727272727
67,70.81818181818181,106.72727272727273,104.9090909090909,58.36363636363637
68,65.72727272727273,147.45454545454547,76.0,91.9090909090909
69,104.54545454545455,168.72727272727272,98.9090909090909,104.45454545454545
70,102.0909090909091,107.36363636363636,116.0,81.54545454545455
71,120.0,223.27272727272728,80.54545454545455,79.72727272727273
72,70.36363636363636,149.54545454545453,85.72727272727273,59.81818181818182
73,98.63636363636364,148.72727272727272,95.72727272727273,105.63636363636364
74,141.63636363636363,216.36363636363637,129.36363636363637,104.54545454545455
75,116.0909090909091,131.0,121.0,106.45454545454545
76,79.81818181818181,217.8181818181818,107.36363636363636,88.81818181818181
77,127.54545454545455,187.54545454545453,133.54545454545453,102.54545454545455
78,135.1818181818182,181.72727272727272,158.27272727272728,122.54545454545455
79,132.0909090909091,215.0909090909091,87.9090909090909,110.45454545454545
80,99.18181818181819,171.45454545454547,126.72727272727273,114.81818181818181
81,218.45454545454547,248.63636363636363,163.0909090909091,83.81818181818181
82,119.63636363636364,162.1818181818182,121.27272727272727,140.0909090909091
83,109.72727272727273,260.09090909090907,119.54545454545455,119.36363636363636
84,187.54545454545453,195.0909090909091,189.8181818181818,126.9090909090909
85,165.0,287.6363636363636,119.18181818181819,124.72727272727273
86,137.54545454545453,171.54545454545453,143.0,150.27272727272728
87,236.9090909090909,352.8181818181818,201.45454545454547,130.1818181818182
88,138.0909090909091,214.8181818181818,152.54545454545453,120.0
89,187.54545454545453,290.54545454545456,207.8181818181818,175.72727272727272
90,198.0909090909091,241.8181818181818,168.9090909090909,161.45454545454547
91,190.63636363636363,261.3636363636364,163.8181818181818,143.1818181818182
92,233.36363636363637,309.3636363636364,222.54545454545453,190.63636363636363
93,177.27272727272728,242.27272727272728,175.45454545454547,165.9090909090909
94,235.1818181818182,318.8181818181818,231.63636363636363,211.0
95,192.8181818181818,324.09090909090907,182.1818181818182,171.45454545454547
96,231.0909090909091,254.1818181818182,250.45454545454547,176.27272727272728
97,205.54545454545453,330.1818181818182,190.0,202.9090909090909
98,251.8181818181818,324.0,248.0,156.72727272727272
99,214.36363636363637,275.1818181818182,200.27272727272728,237.36363636363637
100,281.72727272727275,355.90909090909093,300.45454545454544,176.45454545454547
