N,plain,1,2,3,4,5,6,7,8
2,0.0,73.76470588235294,69.52941176470588,85.41176470588235,90.3529411764706,111.17647058823529,113.29411764705883,108.11764705882354,102.29411764705883
3,0.0,83.23529411764706,53.470588235294116,68.52941176470588,88.52941176470588,65.82352941176471,57.05882352941177,60.23529411764706,60.1764705882353
4,0.09090909090909091,64.88235294117646,47.8235294117647,49.11764705882353,57.588235294117645,68.17647058823529,69.3529411764706,62.705882352941174,60.11764705882353
5,0.18181818181818182,78.82352941176471,53.23529411764706,59.294117647058826,71.6470588235294,95.47058823529412,98.3529411764706,91.23529411764706,88.88235294117646
6,0.2727272727272727,93.23529411764706,64.52941176470588,62.35294117647059,84.6470588235294,110.05882352941177,110.82352941176471,108.52941176470588,112.29411764705883
7,0.18181818181818182,126.76470588235294,77.23529411764706,75.11764705882354,125.88235294117646,125.0,120.52941176470588,120.88235294117646,128.23529411764707
8,1.0,152.05882352941174,132.88235294117646,117.47058823529413,191.88235294117646,133.35294117647058,133.7058823529412,142.05882352941177,148.11764705882354
9,1.4545454545454546,173.05882352941177,129.94117647058823,121.58823529411765,204.94117647058823,166.35294117647058,145.05882352941177,145.05882352941177,152.0
10,3.090909090909091,195.11764705882354,126.41176470588235,138.2941176470588,248.58823529411765,163.58823529411765,173.0,190.94117647058823,203.52941176470588
11,1.5454545454545454,195.8235294117647,138.76470588235293,167.11764705882354,156.05882352941177,180.7058823529412,181.7058823529412,185.64705882352942,185.05882352941177
12,2.6363636363636362,162.0,179.0,128.94117647058823,135.41176470588235,191.76470588235293,179.76470588235293,202.2941176470588,195.7058823529412
13,3.3636363636363638,163.94117647058823,161.35294117647058,144.58823529411768,158.05882352941177,201.52941176470588,196.05882352941177,208.2941176470588,217.41176470588235
14,3.5454545454545454,173.05882352941177,158.1764705882353,141.2941176470588,149.70588235294116,215.52941176470588,212.41176470588235,209.64705882352942,222.88235294117646
15,4.7272727272727275,175.8235294117647,192.11764705882354,145.8235294117647,157.88235294117646,213.88235294117646,218.23529411764707,227.35294117647058,234.35294117647058
16,4.909090909090909,179.0,185.7058823529412,146.1764705882353,167.05882352941177,223.7058823529412,229.23529411764707,242.58823529411765,253.05882352941177
17,6.454545454545454,188.35294117647058,173.41176470588235,157.11764705882354,181.8235294117647,236.58823529411765,236.8235294117647,255.11764705882354,263.94117647058823
18,6.909090909090909,202.05882352941177,167.99999999999997,162.8235294117647,188.58823529411765,253.82352941176464,247.47058823529412,261.7647058823529,278.52941176470586
19,8.0,213.41176470588235,183.8235294117647,181.23529411764707,201.47058823529412,261.47058823529414,260.6470588235294,271.3529411764706,289.3529411764706
20,9.272727272727273,225.41176470588235,191.2941176470588,186.7058823529412,218.64705882352942,275.5882352941176,281.7647058823529,289.1764705882353,306.05882352941177
21,11.272727272727273,235.11764705882354,196.52941176470588,188.58823529411765,222.7058823529412,293.6470588235294,296.52941176470586,302.70588235294116,311.52941176470586
22,12.727272727272727,252.41176470588235,219.7058823529412,200.52941176470588,233.1764705882353,307.52941176470586,305.52941176470586,323.7647058823529,328.94117647058823
23,15.181818181818182,262.11764705882354,212.41176470588235,212.76470588235293,235.23529411764707,315.88235294117646,317.52941176470586,327.1764705882353,349.5882352941176
24,17.272727272727273,276.05882352941177,229.58823529411765,230.58823529411765,262.29411764705884,334.7647058823529,338.70588235294116,344.5882352941176,363.11764705882354
25,16.818181818181817,285.1764705882353,236.88235294117646,236.41176470588235,262.6470588235294,365.1764705882353,353.11764705882354,355.1764705882353,375.11764705882354
26,15.818181818181818,304.8235294117647,268.6470588235294,242.88235294117646,290.6470588235294,380.11764705882354,363.7647058823529,381.47058823529414,395.0
27,18.0,314.2352941176471,269.70588235294116,251.7058823529412,301.11764705882354,388.47058823529414,388.70588235294116,396.29411764705884,414.6470588235294
28,19.636363636363637,328.94117647058823,295.7647058823529,269.11764705882354,315.3529411764706,412.11764705882354,405.05882352941177,405.5882352941176,427.2352941176471
29,20.818181818181817,344.11764705882354,288.47058823529414,282.94117647058823,329.47058823529414,427.05882352941177,402.88235294117646,422.7647058823529,446.7647058823529
30,23.272727272727273,359.88235294117646,300.47058823529414,300.4117647058824,347.29411764705884,447.70588235294116,430.70588235294116,444.52941176470586,458.7647058823529
31,23.09090909090909,370.1764705882353,320.47058823529414,308.88235294117646,342.7647058823529,457.7647058823529,436.29411764705884,465.70588235294116,478.2352941176471
32,23.09090909090909,387.3529411764706,352.0,335.29411764705884,356.05882352941177,473.5882352941176,456.47058823529414,486.47058823529414,504.29411764705884
33,25.363636363636363,400.3529411764706,340.6470588235294,324.7058823529411,371.11764705882354,508.05882352941177,471.1764705882353,492.88235294117646,515.9411764705883
34,27.272727272727273,420.1764705882353,369.11764705882354,352.70588235294116,391.4117647058824,511.7647058823529,496.52941176470586,514.5882352941177,541.0588235294117
35,29.545454545454547,424.8235294117647,383.0,362.7647058823529,405.47058823529414,533.7647058823529,508.52941176470586,522.3529411764706,552.4117647058823
36,32.27272727272727,449.8235294117647,401.3529411764706,372.1764705882353,417.11764705882354,551.4705882352941,538.8823529411765,545.4705882352941,567.8823529411765
37,32.09090909090909,469.70588235294116,404.88235294117646,386.11764705882354,419.88235294117646,563.1176470588235,557.0,569.0588235294117,592.1176470588234
38,36.54545454545455,488.5882352941176,441.47058823529414,400.94117647058823,448.6470588235294,597.6470588235294,566.1176470588234,589.5882352941177,616.8235294117648
39,33.45454545454545,490.70588235294116,480.7647058823529,410.1764705882353,461.94117647058823,627.1764705882352,585.7058823529412,598.5294117647059,647.8235294117648
40,37.0,517.0,580.8823529411765,431.1764705882353,477.47058823529414,629.0,611.2941176470588,626.8823529411765,651.5294117647059
41,36.90909090909091,526.1764705882352,571.2941176470588,443.0,489.5882352941176,638.4117647058823,616.6470588235294,640.8823529411766,669.1176470588235
42,40.63636363636363,538.0588235294117,492.88235294117646,453.70588235294116,528.1176470588235,669.4705882352941,654.3529411764706,661.8823529411765,684.2352941176471
43,41.09090909090909,551.2941176470589,559.7647058823529,467.70588235294116,531.7647058823529,656.4705882352941,659.0,670.0588235294117,702.7058823529412
44,42.45454545454545,574.8823529411765,594.0,505.8235294117647,552.0,683.7647058823529,684.2352941176471,716.3529411764706,700.7647058823529
45,43.63636363636363,587.0588235294117,605.5294117647059,504.05882352941177,568.5294117647059,697.7647058823529,693.7647058823529,713.5882352941177,731.4705882352941
46,47.36363636363637,605.5882352941177,634.1764705882354,521.4705882352941,592.4705882352944,732.6470588235294,727.1176470588235,743.8823529411765,761.9411764705883
47,48.18181818181818,608.5882352941177,592.1764705882352,541.8823529411765,601.9411764705883,738.2352941176471,729.7058823529412,755.2352941176471,771.6470588235294
48,54.09090909090909,630.7058823529412,724.2941176470588,567.1764705882352,627.0,763.5294117647059,751.8235294117648,783.1764705882352,809.7058823529412
49,54.45454545454545,639.5294117647059,687.2941176470588,568.8235294117648,643.0,796.0,782.1176470588235,789.5294117647059,821.7647058823529
50,55.90909090909091,659.7058823529412,718.7058823529412,585.5294117647057,659.5294117647059,802.1764705882352,788.2352941176471,820.2352941176471,867.4117647058823
51,57.63636363636363,670.2941176470588,635.1176470588235,606.1176470588235,672.6470588235294,834.5882352941177,822.4705882352941,834.3529411764706,879.8823529411765
52,61.27272727272727,687.4117647058823,643.2941176470588,635.0,698.7647058823529,858.7647058823529,833.3529411764706,874.1764705882352,904.6470588235294
53,65.45454545454545,699.9411764705883,631.1176470588235,634.2941176470587,726.8823529411765,874.2941176470588,869.6470588235294,910.4705882352941,932.2941176470588
54,63.18181818181818,732.7647058823529,662.6470588235294,641.6470588235294,769.2941176470588,908.2352941176471,906.9411764705883,945.2941176470588,965.1176470588235
55,64.27272727272727,741.1764705882352,767.5294117647059,657.5882352941177,776.0588235294117,936.3529411764706,922.3529411764706,956.0588235294117,972.5882352941177
56,67.63636363636364,751.5882352941177,787.6470588235294,695.7647058823529,793.7058823529412,989.8235294117648,950.5882352941177,972.6470588235294,994.7058823529412
57,70.45454545454545,772.4117647058823,721.1764705882352,699.4117647058823,797.5882352941177,982.0,985.9411764705883,982.0588235294117,1018.9411764705883
58,76.63636363636364,815.9411764705883,749.4705882352941,741.7647058823529,833.8235294117648,1023.294117647059,1008.2941176470588,1025.4705882352941,1060.5294117647059
59,77.27272727272727,809.7058823529412,769.8823529411765,741.2352941176471,846.4705882352941,1030.5882352941176,1030.1764705882354,1034.3529411764705,1079.4705882352941
60,86.72727272727273,834.2352941176471,802.8235294117648,775.9411764705883,877.2941176470588,1054.7058823529412,1052.5294117647056,1074.1176470588236,1101.9411764705883
61,84.36363636363636,864.5882352941177,807.5882352941177,800.7058823529412,883.3529411764706,1072.5294117647059,1050.235294117647,1106.9411764705885,1118.1764705882354
62,86.0909090909091,879.8235294117648,910.4705882352941,806.8235294117648,912.5882352941177,1108.6470588235295,1101.5882352941173,1121.4705882352941,1136.6470588235295
63,88.54545454545455,884.8235294117648,950.8823529411765,851.5294117647059,924.0,1117.5882352941176,1112.7058823529412,1142.6470588235295,1190.0
64,93.54545454545455,913.4117647058823,886.1764705882352,870.0,954.4705882352941,1166.4705882352941,1163.941176470588,1202.1176470588234,1208.2941176470588
65,95.54545454545455,936.2352941176471,891.1764705882352,883.0588235294117,962.2352941176471,1167.0,1189.7058823529412,1185.3529411764705,1241.5882352941176
66,99.72727272727273,958.8823529411765,916.9411764705883,892.3529411764706,1009.9411764705883,1213.2941176470588,1231.8823529411766,1228.764705882353,1263.4117647058824
67,101.36363636363636,978.4117647058823,907.8235294117648,909.5294117647059,1017.0588235294117,1248.764705882353,1233.8823529411766,1269.7058823529412,1285.4117647058824
68,106.0909090909091,1009.3529411764706,942.2352941176471,940.1176470588235,1034.235294117647,1310.8823529411766,1283.6470588235295,1297.6470588235295,1306.8235294117646
69,109.72727272727273,1021.7058823529412,1114.8823529411766,964.0588235294117,1062.4705882352944,1331.8235294117646,1295.5882352941176,1303.3529411764705,1343.764705882353
70,113.9090909090909,1050.3529411764705,1283.764705882353,995.8823529411765,1096.9411764705883,1374.5882352941176,1337.9411764705883,1358.9411764705883,1402.6470588235295
71,116.45454545454545,1069.2941176470588,1196.4705882352941,1003.3529411764706,1121.3529411764707,1357.0,1352.0588235294117,1378.1764705882354,1409.4705882352941
72,124.0,1092.4705882352941,1236.2941176470588,1032.6470588235295,1136.1764705882354,1403.3529411764705,1360.1764705882354,1412.7058823529412,1482.1764705882354
73,125.9090909090909,1108.2941176470588,1154.8235294117646,1042.5294117647059,1156.5294117647059,1418.3529411764705,1399.5294117647059,1423.2941176470588,1478.4705882352941
74,132.27272727272728,1134.764705882353,1131.3529411764705,1088.6470588235297,1184.2941176470588,1462.6470588235295,1453.4705882352941,1485.2941176470588,1530.8823529411766
75,136.45454545454547,1154.8823529411764,1263.9411764705883,1117.9411764705883,1210.1764705882354,1476.0,1471.0588235294117,1510.1764705882354,1537.9411764705883
76,147.63636363636363,1171.7647058823532,1181.2941176470588,1147.8235294117644,1253.1176470588234,1531.0,1495.9411764705883,1568.5882352941176,1611.764705882353
77,159.72727272727272,1213.1764705882354,1181.8235294117646,1157.9411764705883,1262.1176470588234,1559.6470588235295,1500.235294117647,1591.8235294117646,1626.1176470588234
78,168.1818181818182,1236.1176470588234,1179.2941176470588,1164.0,1301.5294117647059,1591.6470588235295,1556.0588235294117,1644.3529411764705,1698.8823529411766
79,167.36363636363637,1247.5294117647059,1214.4705882352941,1193.1764705882354,1287.8823529411766,1596.0588235294117,1574.6470588235295,1631.9411764705883,1743.6470588235295
80,169.72727272727272,1267.764705882353,1265.9411764705883,1228.4705882352941,1344.8823529411766,1687.3529411764705,1656.8823529411766,1659.2941176470588,1764.3529411764705
81,173.54545454545453,1287.4117647058822,1298.8823529411766,1278.7058823529412,1375.0,1690.3529411764705,1644.5294117647059,1700.1764705882354,1777.8823529411766
82,182.45454545454547,1338.235294117647,1337.5882352941178,1288.1176470588234,1409.5882352941176,1745.3529411764705,1659.235294117647,1757.0588235294117,1838.2941176470588
83,188.27272727272728,1345.8823529411766,1500.6470588235295,1300.0588235294117,1437.7058823529412,1784.5294117647059,1744.7058823529412,1824.4705882352941,1869.7058823529412
84,203.0909090909091,1384.6470588235293,1343.764705882353,1323.764705882353,1449.3529411764705,1827.9411764705883,1760.6470588235295,1803.8823529411766,1909.764705882353
85,206.72727272727272,1402.0588235294117,1338.4117647058824,1357.2352941176468,1463.4705882352941,1795.6470588235295,1806.2941176470588,1851.1764705882354,1922.5294117647059
86,229.8181818181818,1424.6470588235295,1393.6470588235295,1384.6470588235295,1510.0,1917.8823529411766,1855.1176470588234,1880.6470588235295,1990.4705882352941
87,222.36363636363637,1434.0,1373.235294117647,1404.7058823529412,1551.235294117647,1930.9411764705883,1857.764705882353,1902.2941176470588,1994.1764705882354
88,232.0909090909091,1484.8235294117646,1401.6470588235295,1431.8235294117646,1596.3529411764705,1934.9411764705883,1903.2941176470588,1969.5882352941176,2052.0
89,223.72727272727272,1484.5294117647059,1484.4705882352941,1452.2941176470588,1604.8235294117646,2001.3529411764705,1947.5294117647059,2018.4117647058824,2095.4117647058824
90,232.45454545454547,1542.6470588235295,1538.3529411764705,1530.9411764705883,1643.5882352941176,2058.000000000001,1996.6470588235295,2040.4705882352941,2151.705882352941
91,242.27272727272728,1551.0,1686.4705882352941,1531.0,1656.4705882352941,2083.8823529411766,2026.1764705882354,2060.9411764705883,2165.764705882353
92,255.0909090909091,1569.5294117647059,1515.5882352941176,1555.9411764705883,1682.5882352941176,2134.0,2077.5882352941176,2127.4117647058824,2235.764705882353
93,254.27272727272728,1598.2941176470588,1542.3529411764705,1588.1764705882354,1739.7058823529412,2127.1176470588234,2095.3529411764707,2152.0588235294117,2254.9411764705883
94,263.54545454545456,1641.235294117647,1618.6470588235295,1621.235294117647,1815.6470588235295,2242.823529411765,2139.1176470588234,2219.4117647058824,2335.823529411765
95,267.1818181818182,1654.9411764705883,1622.4117647058824,1641.4117647058824,1801.1176470588234,2229.235294117647,2218.294117647059,2267.3529411764707,2308.9999999999995
96,275.09090909090907,1685.1176470588234,1684.0588235294117,1684.8823529411766,1856.3529411764705,2257.235294117647,2233.3529411764707,2311.176470588235,2443.1176470588234
97,284.09090909090907,1710.1764705882354,1710.6470588235295,1694.6470588235295,1861.9411764705883,2272.9411764705883,2287.705882352941,2314.764705882353,2417.0
98,295.3636363636364,1747.4705882352941,1804.1176470588234,1733.764705882353,1925.1764705882354,2361.529411764706,2289.882352941176,2365.705882352941,2510.5882352941176
99,306.1818181818182,1778.5882352941176,2109.764705882353,1769.1764705882354,1931.764705882353,2452.823529411765,2344.3529411764707,2402.176470588235,2509.9411764705883
100,316.3636363636364,1816.8823529411766,1945.764705882353,1819.4705882352941,1986.2941176470588,2451.6470588235293,2386.4117647058824,2487.0588235294117,2629.823529411765
